,movie_id,title,genres
0,1,TOY STORY (1995),ANIMATION
0,1,TOY STORY (1995),CHILDREN'S
0,1,TOY STORY (1995),COMEDY
1,2,JUMANJI (1995),ADVENTURE
1,2,JUMANJI (1995),CHILDREN'S
1,2,JUMANJI (1995),FANTASY
2,3,GRUMPIER OLD MEN (1995),COMEDY
2,3,GRUMPIER OLD MEN (1995),ROMANCE
3,4,WAITING TO EXHALE (1995),COMEDY
3,4,WAITING TO EXHALE (1995),DRAMA
4,5,FATHER OF THE BRIDE PART II (1995),COMEDY
5,6,HEAT (1995),ACTION
5,6,HEAT (1995),CRIME
5,6,HEAT (1995),THRILLER
6,7,SABRINA (1995),COMEDY
6,7,SABRINA (1995),ROMANCE
7,8,TOM AND HUCK (1995),ADVENTURE
7,8,TOM AND HUCK (1995),CHILDREN'S
8,9,SUDDEN DEATH (1995),ACTION
9,10,GOLDENEYE (1995),ACTION
9,10,GOLDENEYE (1995),ADVENTURE
9,10,GOLDENEYE (1995),THRILLER
10,11,"AMERICAN PRESIDENT, THE (1995)",COMEDY
10,11,"AMERICAN PRESIDENT, THE (1995)",DRAMA
10,11,"AMERICAN PRESIDENT, THE (1995)",ROMANCE
11,12,DRACULA: DEAD AND LOVING IT (1995),COMEDY
11,12,DRACULA: DEAD AND LOVING IT (1995),HORROR
12,13,BALTO (1995),ANIMATION
12,13,BALTO (1995),CHILDREN'S
13,14,NIXON (1995),DRAMA
14,15,CUTTHROAT ISLAND (1995),ACTION
14,15,CUTTHROAT ISLAND (1995),ADVENTURE
14,15,CUTTHROAT ISLAND (1995),ROMANCE
15,16,CASINO (1995),DRAMA
15,16,CASINO (1995),THRILLER
16,17,SENSE AND SENSIBILITY (1995),DRAMA
16,17,SENSE AND SENSIBILITY (1995),ROMANCE
17,18,FOUR ROOMS (1995),THRILLER
18,19,ACE VENTURA: WHEN NATURE CALLS (1995),COMEDY
19,20,MONEY TRAIN (1995),ACTION
20,21,GET SHORTY (1995),ACTION
20,21,GET SHORTY (1995),COMEDY
20,21,GET SHORTY (1995),DRAMA
21,22,COPYCAT (1995),CRIME
21,22,COPYCAT (1995),DRAMA
21,22,COPYCAT (1995),THRILLER
22,23,ASSASSINS (1995),THRILLER
23,24,POWDER (1995),DRAMA
23,24,POWDER (1995),SCI-FI
24,25,LEAVING LAS VEGAS (1995),DRAMA
24,25,LEAVING LAS VEGAS (1995),ROMANCE
25,26,OTHELLO (1995),DRAMA
26,27,NOW AND THEN (1995),DRAMA
27,28,PERSUASION (1995),ROMANCE
28,29,"CITY OF LOST CHILDREN, THE (1995)",ADVENTURE
28,29,"CITY OF LOST CHILDREN, THE (1995)",SCI-FI
29,30,SHANGHAI TRIAD (YAO A YAO YAO DAO WAIPO QIAO) (1995),DRAMA
30,31,DANGEROUS MINDS (1995),DRAMA
31,32,TWELVE MONKEYS (1995),DRAMA
31,32,TWELVE MONKEYS (1995),SCI-FI
32,33,WINGS OF COURAGE (1995),ADVENTURE
32,33,WINGS OF COURAGE (1995),ROMANCE
33,34,BABE (1995),CHILDREN'S
33,34,BABE (1995),COMEDY
33,34,BABE (1995),DRAMA
34,35,CARRINGTON (1995),DRAMA
34,35,CARRINGTON (1995),ROMANCE
35,36,DEAD MAN WALKING (1995),DRAMA
36,37,ACROSS THE SEA OF TIME (1995),DOCUMENTARY
37,38,IT TAKES TWO (1995),COMEDY
38,39,CLUELESS (1995),COMEDY
38,39,CLUELESS (1995),ROMANCE
39,40,"CRY, THE BELOVED COUNTRY (1995)",DRAMA
40,41,RICHARD III (1995),DRAMA
40,41,RICHARD III (1995),WAR
41,42,DEAD PRESIDENTS (1995),ACTION
41,42,DEAD PRESIDENTS (1995),CRIME
41,42,DEAD PRESIDENTS (1995),DRAMA
42,43,RESTORATION (1995),DRAMA
43,44,MORTAL KOMBAT (1995),ACTION
43,44,MORTAL KOMBAT (1995),ADVENTURE
44,45,TO DIE FOR (1995),COMEDY
44,45,TO DIE FOR (1995),DRAMA
45,46,HOW TO MAKE AN AMERICAN QUILT (1995),DRAMA
45,46,HOW TO MAKE AN AMERICAN QUILT (1995),ROMANCE
46,47,SEVEN (SE7EN) (1995),CRIME
46,47,SEVEN (SE7EN) (1995),THRILLER
47,48,POCAHONTAS (1995),ANIMATION
47,48,POCAHONTAS (1995),CHILDREN'S
47,48,POCAHONTAS (1995),MUSICAL
47,48,POCAHONTAS (1995),ROMANCE
48,49,WHEN NIGHT IS FALLING (1995),DRAMA
48,49,WHEN NIGHT IS FALLING (1995),ROMANCE
49,50,"USUAL SUSPECTS, THE (1995)",CRIME
49,50,"USUAL SUSPECTS, THE (1995)",THRILLER
50,51,GUARDIAN ANGEL (1994),ACTION
50,51,GUARDIAN ANGEL (1994),DRAMA
50,51,GUARDIAN ANGEL (1994),THRILLER
51,52,MIGHTY APHRODITE (1995),COMEDY
52,53,LAMERICA (1994),DRAMA
53,54,"BIG GREEN, THE (1995)",CHILDREN'S
53,54,"BIG GREEN, THE (1995)",COMEDY
54,55,GEORGIA (1995),DRAMA
55,56,KIDS OF THE ROUND TABLE (1995),ADVENTURE
55,56,KIDS OF THE ROUND TABLE (1995),CHILDREN'S
55,56,KIDS OF THE ROUND TABLE (1995),FANTASY
56,57,HOME FOR THE HOLIDAYS (1995),DRAMA
57,58,"POSTINO, IL (THE POSTMAN) (1994)",DRAMA
57,58,"POSTINO, IL (THE POSTMAN) (1994)",ROMANCE
58,59,"CONFESSIONAL, THE (LE CONFESSIONNAL) (1995)",DRAMA
58,59,"CONFESSIONAL, THE (LE CONFESSIONNAL) (1995)",MYSTERY
59,60,"INDIAN IN THE CUPBOARD, THE (1995)",ADVENTURE
59,60,"INDIAN IN THE CUPBOARD, THE (1995)",CHILDREN'S
59,60,"INDIAN IN THE CUPBOARD, THE (1995)",FANTASY
60,61,EYE FOR AN EYE (1996),DRAMA
60,61,EYE FOR AN EYE (1996),THRILLER
61,62,MR. HOLLAND'S OPUS (1995),DRAMA
62,63,DON'T BE A MENACE TO SOUTH CENTRAL WHILE DRINKING YOUR JUICE IN THE HOOD (1996),COMEDY
63,64,TWO IF BY SEA (1996),COMEDY
63,64,TWO IF BY SEA (1996),ROMANCE
64,65,BIO-DOME (1996),COMEDY
65,66,LAWNMOWER MAN 2: BEYOND CYBERSPACE (1996),SCI-FI
65,66,LAWNMOWER MAN 2: BEYOND CYBERSPACE (1996),THRILLER
66,67,TWO BITS (1995),DRAMA
67,68,FRENCH TWIST (GAZON MAUDIT) (1995),COMEDY
67,68,FRENCH TWIST (GAZON MAUDIT) (1995),ROMANCE
68,69,FRIDAY (1995),COMEDY
69,70,FROM DUSK TILL DAWN (1996),ACTION
69,70,FROM DUSK TILL DAWN (1996),COMEDY
69,70,FROM DUSK TILL DAWN (1996),CRIME
69,70,FROM DUSK TILL DAWN (1996),HORROR
69,70,FROM DUSK TILL DAWN (1996),THRILLER
70,71,FAIR GAME (1995),ACTION
71,72,KICKING AND SCREAMING (1995),COMEDY
71,72,KICKING AND SCREAMING (1995),DRAMA
72,73,"MISÉRABLES, LES (1995)",DRAMA
72,73,"MISÉRABLES, LES (1995)",MUSICAL
73,74,BED OF ROSES (1996),DRAMA
73,74,BED OF ROSES (1996),ROMANCE
74,75,BIG BULLY (1996),COMEDY
74,75,BIG BULLY (1996),DRAMA
75,76,SCREAMERS (1995),SCI-FI
75,76,SCREAMERS (1995),THRILLER
76,77,NICO ICON (1995),DOCUMENTARY
77,78,"CROSSING GUARD, THE (1995)",DRAMA
78,79,"JUROR, THE (1996)",DRAMA
78,79,"JUROR, THE (1996)",THRILLER
79,80,"WHITE BALLOON, THE (BADKONAKE SEFID ) (1995)",DRAMA
80,81,THINGS TO DO IN DENVER WHEN YOU'RE DEAD (1995),CRIME
80,81,THINGS TO DO IN DENVER WHEN YOU'RE DEAD (1995),DRAMA
80,81,THINGS TO DO IN DENVER WHEN YOU'RE DEAD (1995),ROMANCE
81,82,ANTONIA'S LINE (ANTONIA) (1995),DRAMA
82,83,ONCE UPON A TIME... WHEN WE WERE COLORED (1995),DRAMA
83,84,LAST SUMMER IN THE HAMPTONS (1995),COMEDY
83,84,LAST SUMMER IN THE HAMPTONS (1995),DRAMA
84,85,ANGELS AND INSECTS (1995),DRAMA
84,85,ANGELS AND INSECTS (1995),ROMANCE
85,86,WHITE SQUALL (1996),ADVENTURE
85,86,WHITE SQUALL (1996),DRAMA
86,87,DUNSTON CHECKS IN (1996),CHILDREN'S
86,87,DUNSTON CHECKS IN (1996),COMEDY
87,88,BLACK SHEEP (1996),COMEDY
88,89,NICK OF TIME (1995),ACTION
88,89,NICK OF TIME (1995),THRILLER
89,90,"JOURNEY OF AUGUST KING, THE (1995)",DRAMA
90,92,MARY REILLY (1996),DRAMA
90,92,MARY REILLY (1996),THRILLER
91,93,VAMPIRE IN BROOKLYN (1995),COMEDY
91,93,VAMPIRE IN BROOKLYN (1995),ROMANCE
92,94,BEAUTIFUL GIRLS (1996),DRAMA
93,95,BROKEN ARROW (1996),ACTION
93,95,BROKEN ARROW (1996),THRILLER
94,96,IN THE BLEAK MIDWINTER (1995),COMEDY
95,97,"HATE (HAINE, LA) (1995)",DRAMA
96,98,SHOPPING (1994),ACTION
96,98,SHOPPING (1994),THRILLER
97,99,HEIDI FLEISS: HOLLYWOOD MADAM (1995),DOCUMENTARY
98,100,CITY HALL (1996),DRAMA
98,100,CITY HALL (1996),THRILLER
99,101,BOTTLE ROCKET (1996),COMEDY
100,102,MR. WRONG (1996),COMEDY
101,103,UNFORGETTABLE (1996),THRILLER
102,104,HAPPY GILMORE (1996),COMEDY
103,105,"BRIDGES OF MADISON COUNTY, THE (1995)",DRAMA
103,105,"BRIDGES OF MADISON COUNTY, THE (1995)",ROMANCE
104,106,NOBODY LOVES ME (KEINER LIEBT MICH) (1994),COMEDY
104,106,NOBODY LOVES ME (KEINER LIEBT MICH) (1994),DRAMA
105,107,MUPPET TREASURE ISLAND (1996),ADVENTURE
105,107,MUPPET TREASURE ISLAND (1996),CHILDREN'S
105,107,MUPPET TREASURE ISLAND (1996),COMEDY
105,107,MUPPET TREASURE ISLAND (1996),MUSICAL
106,108,CATWALK (1995),DOCUMENTARY
107,109,HEADLESS BODY IN TOPLESS BAR (1995),COMEDY
108,110,BRAVEHEART (1995),ACTION
