,user_id,gender,occupation,zipcode,age_desc,occ_desc
0,1,FEMALE,10,48067,UNDER 18,K-12 STUDENT
1,2,MALE,16,70072,56+,SELF-EMPLOYED
2,3,MALE,15,55117,25-34,SCIENTIST
3,4,MALE,7,02460,45-49,EXECUTIVE/MANAGERIAL
4,5,MALE,20,55455,25-34,WRITER
5,6,FEMALE,9,55117,50-55,HOMEMAKER
6,7,MALE,1,06810,35-44,ACADEMIC/EDUCATOR
7,8,MALE,12,11413,25-34,PROGRAMMER
8,9,MALE,17,61614,25-34,TECHNICIAN/ENGINEER
9,10,FEMALE,1,95370,35-44,ACADEMIC/EDUCATOR
10,11,FEMALE,1,04093,25-34,ACADEMIC/EDUCATOR
11,12,MALE,12,32793,25-34,PROGRAMMER
12,13,MALE,1,93304,45-49,ACADEMIC/EDUCATOR
13,14,MALE,0,60126,35-44,OTHER OR NOT SPECIFIED
14,15,MALE,7,22903,25-34,EXECUTIVE/MANAGERIAL
15,16,FEMALE,0,20670,35-44,OTHER OR NOT SPECIFIED
16,17,MALE,1,95350,50-55,ACADEMIC/EDUCATOR
17,18,FEMALE,3,95825,18-24,CLERICAL/ADMIN
18,19,MALE,10,48073,UNDER 18,K-12 STUDENT
19,20,MALE,14,55113,25-34,SALES/MARKETING
20,21,MALE,16,99353,18-24,SELF-EMPLOYED
21,22,MALE,15,53706,18-24,SCIENTIST
22,23,MALE,0,90049,35-44,OTHER OR NOT SPECIFIED
23,24,FEMALE,7,10023,25-34,EXECUTIVE/MANAGERIAL
24,25,MALE,4,01609,18-24,COLLEGE/GRAD STUDENT
25,26,MALE,7,23112,25-34,EXECUTIVE/MANAGERIAL
26,27,MALE,11,19130,25-34,LAWYER
27,28,FEMALE,1,14607,25-34,ACADEMIC/EDUCATOR
28,29,MALE,7,33407,35-44,EXECUTIVE/MANAGERIAL
29,30,FEMALE,7,19143,35-44,EXECUTIVE/MANAGERIAL
30,31,MALE,7,06840,56+,EXECUTIVE/MANAGERIAL
31,32,FEMALE,0,19355,25-34,OTHER OR NOT SPECIFIED
32,33,MALE,3,55421,45-49,CLERICAL/ADMIN
33,34,FEMALE,0,02135,18-24,OTHER OR NOT SPECIFIED
34,35,MALE,1,02482,45-49,ACADEMIC/EDUCATOR
35,36,MALE,3,94123,25-34,CLERICAL/ADMIN
36,37,FEMALE,9,66212,25-34,HOMEMAKER
37,38,FEMALE,4,02215,18-24,COLLEGE/GRAD STUDENT
38,39,MALE,4,61820,18-24,COLLEGE/GRAD STUDENT
39,40,MALE,0,10543,45-49,OTHER OR NOT SPECIFIED
40,41,FEMALE,4,15116,18-24,COLLEGE/GRAD STUDENT
41,42,MALE,8,24502,25-34,FARMER
42,43,MALE,12,60614,25-34,PROGRAMMER
43,44,MALE,17,98052,45-49,TECHNICIAN/ENGINEER
44,45,FEMALE,16,94110,45-49,SELF-EMPLOYED
45,46,MALE,19,75602,18-24,UNEMPLOYED
46,47,MALE,4,94305,18-24,COLLEGE/GRAD STUDENT
47,48,MALE,4,92107,25-34,COLLEGE/GRAD STUDENT
48,49,MALE,12,77084,18-24,PROGRAMMER
49,50,FEMALE,2,98133,25-34,ARTIST
50,51,FEMALE,10,10562,UNDER 18,K-12 STUDENT
51,52,MALE,4,72212,18-24,COLLEGE/GRAD STUDENT
52,53,MALE,0,96931,25-34,OTHER OR NOT SPECIFIED
53,54,MALE,1,56723,50-55,ACADEMIC/EDUCATOR
54,55,FEMALE,12,55303,35-44,PROGRAMMER
55,56,MALE,20,60440,35-44,WRITER
56,57,MALE,19,30350,18-24,UNEMPLOYED
57,58,MALE,2,30303,25-34,ARTIST
58,59,FEMALE,1,55413,50-55,ACADEMIC/EDUCATOR
59,60,MALE,1,72118,50-55,ACADEMIC/EDUCATOR
60,61,MALE,17,95122,25-34,TECHNICIAN/ENGINEER
61,62,FEMALE,3,98105,35-44,CLERICAL/ADMIN
62,63,MALE,4,54902,18-24,COLLEGE/GRAD STUDENT
63,64,MALE,1,53706,18-24,ACADEMIC/EDUCATOR
64,65,MALE,12,55803,35-44,PROGRAMMER
65,66,MALE,18,57706,25-34,TRADESMAN/CRAFTSMAN
66,67,FEMALE,5,60181,50-55,CUSTOMER SERVICE
67,68,MALE,4,53706,18-24,COLLEGE/GRAD STUDENT
68,69,FEMALE,1,02143,25-34,ACADEMIC/EDUCATOR
69,70,MALE,4,53703,18-24,COLLEGE/GRAD STUDENT
70,71,MALE,14,95008,25-34,SALES/MARKETING
71,72,FEMALE,0,55122,45-49,OTHER OR NOT SPECIFIED
72,73,MALE,4,53706,18-24,COLLEGE/GRAD STUDENT
73,74,MALE,14,94530,35-44,SALES/MARKETING
74,75,FEMALE,10,01748,UNDER 18,K-12 STUDENT
75,76,MALE,7,55413,35-44,EXECUTIVE/MANAGERIAL
76,77,MALE,4,15321,18-24,COLLEGE/GRAD STUDENT
77,78,FEMALE,1,98029,45-49,ACADEMIC/EDUCATOR
78,79,FEMALE,0,98103,45-49,OTHER OR NOT SPECIFIED
79,80,MALE,1,49327,56+,ACADEMIC/EDUCATOR
80,81,FEMALE,0,60640,25-34,OTHER OR NOT SPECIFIED
81,82,MALE,17,48380,25-34,TECHNICIAN/ENGINEER
82,83,FEMALE,2,94609,25-34,ARTIST
83,84,MALE,4,53140,18-24,COLLEGE/GRAD STUDENT
84,85,MALE,4,94945,18-24,COLLEGE/GRAD STUDENT
85,86,FEMALE,10,54467,UNDER 18,K-12 STUDENT
86,87,MALE,14,48360,25-34,SALES/MARKETING
87,88,FEMALE,1,02476,45-49,ACADEMIC/EDUCATOR
88,89,FEMALE,9,85749,56+,HOMEMAKER
89,90,MALE,13,85749,56+,RETIRED
90,91,MALE,7,07650,35-44,EXECUTIVE/MANAGERIAL
91,92,FEMALE,4,44243,18-24,COLLEGE/GRAD STUDENT
92,93,MALE,17,95825,25-34,TECHNICIAN/ENGINEER
93,94,MALE,17,28601,25-34,TECHNICIAN/ENGINEER
94,95,MALE,0,98201,45-49,OTHER OR NOT SPECIFIED
95,96,FEMALE,16,78028,25-34,SELF-EMPLOYED
96,97,FEMALE,3,66210,35-44,CLERICAL/ADMIN
97,98,FEMALE,7,33547,35-44,EXECUTIVE/MANAGERIAL
98,99,FEMALE,10,19390,UNDER 18,K-12 STUDENT
99,100,MALE,17,95401,35-44,TECHNICIAN/ENGINEER
100,101,FEMALE,3,33314,18-24,CLERICAL/ADMIN
101,102,MALE,19,20871,35-44,UNEMPLOYED
102,103,MALE,7,92104,45-49,EXECUTIVE/MANAGERIAL
103,104,MALE,12,00926,25-34,PROGRAMMER
104,105,MALE,12,90277,45-49,PROGRAMMER
105,106,FEMALE,11,79101,35-44,LAWYER
106,107,MALE,18,63129,45-49,TRADESMAN/CRAFTSMAN
107,108,MALE,12,30316,25-34,PROGRAMMER
108,109,MALE,15,92028,45-49,SCIENTIST
109,110,MALE,2,90803,25-34,ARTIST
110,111,MALE,15,55416,35-44,SCIENTIST
111,112,MALE,16,97209,25-34,SELF-EMPLOYED
112,113,MALE,12,37032,18-24,PROGRAMMER
113,114,FEMALE,2,83712,25-34,ARTIST
114,115,MALE,17,28083,25-34,TECHNICIAN/ENGINEER
115,116,MALE,17,55744,25-34,TECHNICIAN/ENGINEER
116,117,MALE,17,33314,25-34,TECHNICIAN/ENGINEER
117,118,MALE,17,22315,35-44,TECHNICIAN/ENGINEER
118,119,FEMALE,10,77515,UNDER 18,K-12 STUDENT
119,120,MALE,11,27106,25-34,LAWYER
120,121,MALE,7,75229,35-44,EXECUTIVE/MANAGERIAL
121,122,FEMALE,4,94305,18-24,COLLEGE/GRAD STUDENT
122,123,MALE,9,67208,35-44,HOMEMAKER
123,124,MALE,7,91356,56+,EXECUTIVE/MANAGERIAL
124,125,MALE,14,01701,45-49,SALES/MARKETING
125,126,MALE,9,98117,18-24,HOMEMAKER
126,127,FEMALE,3,01770,45-49,CLERICAL/ADMIN
127,128,MALE,6,37922,56+,DOCTOR/HEALTH CARE
128,129,MALE,11,20164,25-34,LAWYER
129,130,MALE,17,50021,35-44,TECHNICIAN/ENGINEER
130,131,MALE,4,06520,18-24,COLLEGE/GRAD STUDENT
131,132,MALE,17,99709,25-34,TECHNICIAN/ENGINEER
132,133,FEMALE,0,55071,25-34,OTHER OR NOT SPECIFIED
133,134,MALE,0,66212,25-34,OTHER OR NOT SPECIFIED
134,135,MALE,4,20006,18-24,COLLEGE/GRAD STUDENT
135,136,MALE,2,21202,18-24,ARTIST
136,137,FEMALE,6,78758,45-49,DOCTOR/HEALTH CARE
137,138,MALE,20,22203,18-24,WRITER
138,139,FEMALE,20,45409,25-34,WRITER
139,140,FEMALE,1,55107,35-44,ACADEMIC/EDUCATOR
140,141,MALE,13,62035,35-44,RETIRED
141,142,MALE,7,10011,25-34,EXECUTIVE/MANAGERIAL
142,143,MALE,3,64043,18-24,CLERICAL/ADMIN
143,144,MALE,17,29401,25-34,TECHNICIAN/ENGINEER
144,145,MALE,4,19081,18-24,COLLEGE/GRAD STUDENT
145,146,FEMALE,20,10954,35-44,WRITER
146,147,MALE,4,91360,18-24,COLLEGE/GRAD STUDENT
147,148,MALE,17,57747,50-55,TECHNICIAN/ENGINEER
148,149,MALE,1,29205,25-34,ACADEMIC/EDUCATOR
149,150,MALE,7,98144,35-44,EXECUTIVE/MANAGERIAL
150,151,FEMALE,20,85013,25-34,WRITER
151,152,MALE,4,48104,18-24,COLLEGE/GRAD STUDENT
152,153,MALE,10,51537,UNDER 18,K-12 STUDENT
153,154,MALE,20,94530,50-55,WRITER
154,155,MALE,12,07470,35-44,PROGRAMMER
155,156,FEMALE,7,14519,45-49,EXECUTIVE/MANAGERIAL
156,157,MALE,16,12866,35-44,SELF-EMPLOYED
157,158,MALE,7,28754,56+,EXECUTIVE/MANAGERIAL
158,159,FEMALE,0,37922,45-49,OTHER OR NOT SPECIFIED
159,160,MALE,7,13021,35-44,EXECUTIVE/MANAGERIAL
160,161,MALE,16,98107-2117,45-49,SELF-EMPLOYED
161,162,FEMALE,4,93117,18-24,COLLEGE/GRAD STUDENT
162,163,MALE,4,85013,18-24,COLLEGE/GRAD STUDENT
163,164,FEMALE,13,94566,56+,RETIRED
164,165,MALE,16,98502,18-24,SELF-EMPLOYED
165,166,MALE,4,92802,18-24,COLLEGE/GRAD STUDENT
166,167,FEMALE,11,10022,25-34,LAWYER
167,168,FEMALE,0,46970,50-55,OTHER OR NOT SPECIFIED
168,169,MALE,7,55439,25-34,EXECUTIVE/MANAGERIAL
169,170,MALE,11,07002,25-34,LAWYER
170,171,FEMALE,17,55441,50-55,TECHNICIAN/ENGINEER
171,172,MALE,3,07661,25-34,CLERICAL/ADMIN
172,173,MALE,0,45237,25-34,OTHER OR NOT SPECIFIED
173,174,MALE,16,21203,25-34,SELF-EMPLOYED
174,175,FEMALE,2,95123,25-34,ARTIST
175,176,FEMALE,3,55016,18-24,CLERICAL/ADMIN
176,177,MALE,1,54016,50-55,ACADEMIC/EDUCATOR
177,178,MALE,17,53705,56+,TECHNICIAN/ENGINEER
178,179,MALE,0,02135,25-34,OTHER OR NOT SPECIFIED
179,180,MALE,12,01603,45-49,PROGRAMMER
180,181,MALE,17,33186,18-24,TECHNICIAN/ENGINEER
181,182,MALE,4,03052,18-24,COLLEGE/GRAD STUDENT
182,183,FEMALE,1,55407,45-49,ACADEMIC/EDUCATOR
183,184,FEMALE,0,19001,25-34,OTHER OR NOT SPECIFIED
184,185,MALE,0,14468,45-49,OTHER OR NOT SPECIFIED
185,186,MALE,5,91767,18-24,CUSTOMER SERVICE
186,187,FEMALE,1,94061,45-49,ACADEMIC/EDUCATOR
187,188,MALE,16,79930,56+,SELF-EMPLOYED
188,189,MALE,0,60076,18-24,OTHER OR NOT SPECIFIED
189,190,MALE,17,55125,25-34,TECHNICIAN/ENGINEER
190,191,MALE,4,04915,18-24,COLLEGE/GRAD STUDENT
191,192,MALE,1,10977,18-24,ACADEMIC/EDUCATOR
192,193,FEMALE,15,44106,45-49,SCIENTIST
193,194,FEMALE,10,29146,UNDER 18,K-12 STUDENT
194,195,MALE,12,10458,25-34,PROGRAMMER
195,196,FEMALE,9,94587,35-44,HOMEMAKER
196,197,MALE,14,10023,18-24,SALES/MARKETING
197,198,MALE,12,55108,25-34,PROGRAMMER
198,199,MALE,4,83706,18-24,COLLEGE/GRAD STUDENT
199,200,FEMALE,4,84321,18-24,COLLEGE/GRAD STUDENT
200,201,FEMALE,2,55117,35-44,ARTIST
201,202,MALE,4,53706,18-24,COLLEGE/GRAD STUDENT
202,203,FEMALE,4,53715,18-24,COLLEGE/GRAD STUDENT
203,204,MALE,7,92123,25-34,EXECUTIVE/MANAGERIAL
204,205,MALE,12,97333,35-44,PROGRAMMER
205,206,MALE,17,20194,25-34,TECHNICIAN/ENGINEER
206,207,MALE,12,94115,25-34,PROGRAMMER
207,208,MALE,17,55432,35-44,TECHNICIAN/ENGINEER
208,209,MALE,1,90048,35-44,ACADEMIC/EDUCATOR
209,210,FEMALE,10,25801,UNDER 18,K-12 STUDENT
210,211,MALE,17,90620,45-49,TECHNICIAN/ENGINEER
211,212,MALE,16,53714,25-34,SELF-EMPLOYED
212,213,FEMALE,4,01609,18-24,COLLEGE/GRAD STUDENT
213,214,MALE,20,80218,18-24,WRITER
214,215,MALE,14,92075,35-44,SALES/MARKETING
215,216,MALE,13,52761,45-49,RETIRED
216,217,MALE,4,22903,18-24,COLLEGE/GRAD STUDENT
217,218,MALE,14,95822,35-44,SALES/MARKETING
218,219,FEMALE,4,55113,25-34,COLLEGE/GRAD STUDENT
219,220,MALE,12,22903,25-34,PROGRAMMER
220,221,FEMALE,0,94063,25-34,OTHER OR NOT SPECIFIED
221,222,MALE,1,55116,25-34,ACADEMIC/EDUCATOR
222,223,MALE,17,28262,25-34,TECHNICIAN/ENGINEER
